sample	group	subject
35__HoxPU1_Neu_v2_1_S35_R1_001	Hox-KO_v2	U
36__HoxPU1_Neu_v2_2_S36_R1_001	Hox-KO_v2	U
37__HoxPU1_Neu_v2_3_S37_R1_001	Hox-KO_v2	U
38__HoxPU1_Neu_creEts2_c3_KO1_1_S38_R1_001	Hox-2KOs	U
39__HoxPU1_Neu_creEts2_c3_KO1_2_S39_R1_001	Hox-2KOs	U
40__HoxPU1_Neu_creEts2_c3_KO1_3_S40_R1_001	Hox-2KOs	U
41__PU1_WT_1731_S41_R1_001	Prim-WT	U
43__PU1_WT_1735_S43_R1_001	Prim-WT	U
44__PU1_WT_1734_S44_R1_001	Prim-WT	U
45__PU1_Neu_1712_S45_R1_001	Prim-KO	U
46__PU1_Neu_1715_S46_R1_001	Prim-KO	U
48__PU1_Neu_1718_S48_R1_001	Prim-KO	U
SRR6751062_1	Hox-WT	U
SRR6751063_1	Hox-WT	U
SRR6751064_1	Hox-WT	U